OG Model Q12 Q21 Model_conf Parameter_pval Tree_size
OG0000361 ER 0.000181613162426806 NA 0.777777777777778 0.866336708795202 34
OG0000362 ER 0.013099481187752 NA 0.71 0.693069306930693 25
OG0000363 ER-white NA NA 0.78494623655914 NA 13
OG0000364 ER 0.000277204661422091 NA 0.769230769230769 0.499263467504613 24
OG0000365 ER-white NA NA 0.82 NA 32
OG0000366 ER-white NA NA 0.795454545454545 NA 25
OG0000367 ER 0.000580970695123279 NA 0.817204301075269 0.440867798820248 33
OG0000369 ER 0.000395398561692429 NA 0.806451612903226 0.489572811613662 32
OG0000370 ER-white NA NA 0.840425531914894 NA 40
OG0000372 ER-white NA NA 0.66 NA 35
OG0000373 ER 0.000353503808179701 NA 0.745762711864407 0.533198406885534 15
OG0000374 ARD 0.000365456596786966 0.0037053666907605 0.278350515463918 0.698378941141765 38
OG0000375 ER-white NA NA 0.93 NA 28
OG0000376 ER 0.00287368746641242 NA 0.76 0.566948693575393 14
OG0000377 ER 0.000798762508424323 NA 0.66304347826087 0.42715943548604 12
OG0000378 ER-white NA NA 0.85 NA 4
OG0000379 ER 0.000470918005537775 NA 0.921875 0.858040243029866 11
OG0000380 ER 0.00239604227311449 NA 0.75 0.356435643564356 21
OG0000381 ER 7.12390576273913e-05 NA 0.833333333333333 0.860558619228494 42
OG0000383 ER-white NA NA 0.676767676767677 NA 9
OG0000384 ER-white NA NA 0.82 NA 21
OG0000385 ER 0.00321007454178654 NA 0.87 0.502665153185831 17
OG0000386 ER-white NA NA 0.87 NA 30
OG0000387 ER-white NA NA 0.72 NA 21
OG0000388 ER-white NA NA 0.74 NA 18
OG0000389 ER 0.000736714241302858 NA 0.8 0.198019801980198 36
OG0000390 ER-white NA NA 0.833333333333333 NA 41
OG0000391 ER-white NA NA 0.917525773195876 NA 40
OG0000393 ER-white NA NA 0.88 NA 39
OG0000394 ER-white NA NA 0.79 NA 11
OG0000396 ER 0.016118547611616 NA 0.75 0.495049504950495 22
OG0000397 ER 0.00278288873835987 NA 0.707317073170732 0.706163289695128 5
OG0000398 ER-white NA NA 0.9 NA 38
OG0000399 ER 8.40894930038522e-05 NA 0.833333333333333 0.434506216244749 38
OG0000401 ER-white NA NA 0.84 NA 41
OG0000402 ER 0.00497425184910374 NA 0.72 0.574257425742574 19
OG0000403 ER 0.00159318368994001 NA 0.714285714285714 0.64212005471034 12
OG0000404 ARD 0.00249670367107651 0.0103804368119164 0.33 0.336633663366336 39
OG0000407 ARD 9.08389332181436e-18 0.00353348107358811 0.375 0.4977176247476 37
OG0000408 ER 0.000547687935123824 NA 0.645161290322581 0.473051398078071 21
OG0000410 ER 8.2034510248592e-05 NA 0.791666666666667 0.915897750421077 36
OG0000411 ER-white NA NA 0.836734693877551 NA 39
OG0000412 ARD 1.95101181599387e-18 0.00241875019095062 0.123711340206186 0.348372615275288 20
OG0000413 ER 7.32049889642001e-05 NA 0.844444444444444 0.558431622880458 40
OG0000415 ER-white NA NA 0.216867469879518 NA 4
OG0000416 ER-white NA NA 0.69 NA 21
OG0000418 ARD 2.44029638368352e-216 0.00273214110234637 0.236559139784946 0.275794414974004 23
OG0000419 ER 0.30906338556758 NA 0.39 0.376237623762376 14
OG0000420 ER 0.000156025520689068 NA 0.846153846153846 0.554071900672307 41
OG0000421 ER 0.00120391475791866 NA 0.705128205128205 0.603076534007758 5
OG0000422 ER-white NA NA 0.73 NA 17
OG0000423 ARD 0.000655635304165367 0.00332646281386845 0.29 0.594059405940594 39
OG0000424 ER-white NA NA 0.901098901098901 NA 34
OG0000425 ER 0.000907524650552894 NA 0.621212121212121 0.773715366327433 5
OG0000426 ARD 0.000622833203498582 0.00408977017441688 0.357142857142857 0.524437690102877 38
OG0000427 ER-white NA NA 0.59 NA 8
OG0000428 ARD 0.000641536793566468 0.00271845357375679 0.0714285714285714 0.808080808080808 24
OG0000429 ER-white NA NA 0.868686868686869 NA 29
OG0000431 ER 0.000246680337435148 NA 0.795180722891566 0.52092409517358 34
OG0000432 ER-white NA NA 0.791666666666667 NA 39
OG0000433 ER 0.00165563931595899 NA 0.83 0.502665153185831 13
OG0000434 ER-white NA NA 0.929292929292929 NA 37
OG0000435 ARD 3.0768931634563e-16 0.00204659191755518 0.347368421052632 0.350161118689206 32
OG0000436 ARD 5.63917437936876e-17 0.00149795274078437 0.204081632653061 0.222222222222223 30
OG0000437 ER-white NA NA 0.7 NA 25
OG0000438 ER-white NA NA 0.6125 NA 10
OG0000439 ER 0.000256683697722517 NA 0.516129032258065 0.287292698521984 10
OG0000440 ER 0.000362289681629386 NA 0.846153846153846 0.422372566955942 24
OG0000441 ER 0.00100047557591693 NA 0.958333333333333 0.329337232634203 4
OG0000442 ER-white NA NA 0.5 NA 28
OG0000443 ER 0.00256942884010685 NA 0.52 0.683744251617235 12
OG0000444 ER-white NA NA 0.87 NA 37
OG0000445 ARD 0.00159585711896308 0.00358317845252197 0.21 0.910891089108911 39
OG0000446 ER 0.000940089229929942 NA 0.72 0.118811881188118 38
OG0000449 ER-white NA NA 0.73 NA 30
OG0000450 ER-white NA NA 0.583333333333333 NA 5
OG0000451 ER 0.000236852882088151 NA 0.880952380952381 0.498674969942038 42
OG0000452 ER-white NA NA 0.67 NA 23
OG0000453 ER 7.65660648752676e-05 NA 0.69047619047619 0.740299096507539 41
OG0000454 ER-white NA NA 0.923076923076923 NA 25
OG0000455 ER 0.000455870745786146 NA 0.879120879120879 0.445192995832003 27
OG0000456 ER-white NA NA 0.929292929292929 NA 36
OG0000457 ARD 2.84873591531467e-09 0.00185926301440118 0.315217391304348 0.475622638709239 36
OG0000458 ER-white NA NA 0.57 NA 8
OG0000459 ER 0.00445040575114838 NA 0.656565656565657 0.671627920205016 12
OG0000460 ER-white NA NA 0.78 NA 9
OG0000461 ER 7.66911518165932e-05 NA 0.863636363636364 0.679170991271075 40
OG0000463 ER-white NA NA 0.76 NA 19
OG0000464 ER-white NA NA 0.734177215189873 NA 42
OG0000465 ARD 0.00222156713187628 0.00611922837100459 0.21 0.666994335048083 31
OG0000466 ER-white NA NA 0.804347826086957 NA 36
OG0000467 ARD 3.78564638457392e-134 0.00206510654039941 0.343434343434343 0.359633675763073 35
OG0000468 ARD 2.19268287953443e-09 0.00256873605244029 0.373493975903614 0.559783272368711 35
OG0000469 ER-white NA NA 0.845360824742268 NA 29
OG0000470 ER 0.000209246658532658 NA 0.808823529411765 0.539364795760206 32
